e,94,240,720,16512,
e,194,368,736,16240,
e,296,432,624,15984,
e,394,480,592,16336,
e,494,416,656,16208,
e,594,432,624,16160,
e,694,512,656,16192,
e,794,432,656,16176,
e,894,448,624,16096,
e,994,544,512,16048,
e,1094,720,496,16080,
e,1194,496,560,16336,
e,1294,448,624,16064,
e,1394,560,624,16368,
e,1494,784,528,16416,
e,1594,624,688,16064,
e,1694,608,576,16064,
e,1794,464,560,16096,
e,1894,384,656,15952,
e,1994,384,640,16080,
e,2094,448,640,16096,
e,2194,432,608,16096,
e,2293,368,576,16256,
e,2394,384,608,16160,
e,2494,336,608,16128,
e,2594,368,624,16112,
e,2694,384,576,16064,
e,2795,416,560,16176,
e,2895,304,544,16384,
e,2995,368,592,16336,
e,3095,464,656,15968,
e,3194,464,608,16080,
e,3294,448,624,16048,
e,3394,512,656,16112,
e,3494,448,672,16336,
e,3594,464,656,16224,
e,3694,528,656,16112,
e,3794,496,656,16112,
e,3895,528,624,15968,
e,3995,560,528,16048,
e,4095,720,512,15984,
e,4195,736,544,16112,
e,4294,576,624,16144,
e,4394,592,560,16192,
e,4495,512,624,16160,
e,4595,464,560,16192,
e,4694,416,592,16144,
e,4795,448,592,16064,
e,4895,352,656,16208,
e,4995,432,608,16176,
e,5094,304,656,16032,
e,5195,224,592,16480,
e,5296,288,672,16304,
e,5395,176,672,16448,
e,5495,320,592,16336,
e,5595,384,672,16288,
e,5695,336,624,16480,
e,5794,400,704,16384,
e,5896,352,608,16432,
e,5995,384,656,16224,
e,6095,368,688,16176,
e,6195,464,544,16272,
e,6295,464,560,16160,
e,6395,480,608,16096,
e,6495,416,544,16144,
e,6596,304,480,16512,
e,6695,352,576,16352,
e,6796,528,448,16096,
e,6895,608,416,16160,
e,6995,528,464,16080,
e,7095,624,528,16304,
e,7195,544,576,16208,
e,7296,544,672,15920,
e,7395,512,640,16016,
e,7496,448,672,15952,
e,7596,448,656,15840,
e,7695,448,624,15840,
e,7795,464,768,15984,
e,7895,464,672,16032,
e,7995,512,656,16064,
e,8096,464,608,16416,
e,8195,416,608,16352,
e,8296,416,560,16304,
e,8396,368,608,15920,
e,8495,400,560,15968,
e,8596,448,560,16016,
e,8696,496,640,15808,
e,8795,640,624,15872,
e,8896,544,752,16048,
e,8996,480,656,16320,
e,9096,464,672,16224,
e,9195,416,592,15952,
e,9295,464,592,16048,
e,9396,480,624,15952,
e,9496,400,704,15728,
e,9596,400,608,15920,
e,9695,464,608,15824,
e,9795,512,592,16176,
e,9896,672,496,16112,
e,9996,512,544,16432,
e,10096,576,560,16096,
e,10196,640,464,16288,
e,10295,560,432,15920,
e,10396,592,496,15920,
e,10496,512,480,16000,
e,10596,352,656,15664,
e,10696,416,624,15856,
e,10796,480,544,16080,
e,10896,368,592,16096,
e,10996,608,640,15968,
e,11097,496,656,16144,
e,11196,704,656,15968,
e,11296,480,624,16208,
e,11396,432,608,16384,
e,11497,336,640,16160,
e,11596,416,528,15968,
e,11696,416,512,15952,
e,11796,320,592,15984,
e,11896,384,592,16080,
e,11996,432,656,16112,
e,12096,400,624,16144,
e,12196,352,704,16032,
e,12297,640,672,15648,
e,12396,1392,3056,16640,
e,12497,912,368,17808,
e,12597,1600,-3344,16384,
e,12696,-1616,-6224,11200,
e,12796,-2176,-6064,16224,
e,12896,-3968,-4112,12992,
e,12996,-5744,-3344,6528,
e,13096,-9664,-5280,-576,
e,13196,-10800,-5456,-4112,
e,13296,-10944,-4288,-1216,
e,13397,-10560,-1632,5408,
e,13497,-7552,416,7072,
e,13596,-5152,928,12272,
e,13696,-1408,1296,14064,
e,13796,832,1616,21392,
e,13896,2000,1552,22144,
e,13997,192,1104,16880,
e,14096,-2944,1248,15616,
e,14196,-5632,2096,13648,
e,14297,-7088,2016,11296,
e,14397,-9792,832,7776,
e,14496,-11728,-3696,5616,
e,14597,-12672,-7552,5136,
e,14697,-12768,-8096,5936,
e,14797,-12080,-5824,8432,
e,14896,-10928,-3840,10000,
e,14997,-9520,-3472,10784,
e,15097,-8144,-1312,12144,
e,15197,-6032,528,13296,
e,15296,-3072,1248,14640,
e,15397,-224,1376,18176,
e,15497,1744,3632,20688,
e,15597,624,2816,17760,
e,15697,-1264,1248,16288,
e,15797,-3552,432,14912,
e,15897,-5600,-400,14000,
e,15997,-8176,-688,12000,
e,16097,-9328,-3440,9680,
e,16197,-10640,-7136,6960,
e,16297,-11024,-10048,4928,
e,16396,-11232,-9568,6320,
e,16497,-10592,-6864,6528,
e,16597,-9632,-2816,8672,
e,16697,-8528,560,11152,
e,16796,-6656,2144,11728,
e,16897,-4128,3120,12480,
e,16997,-272,4608,18080,
e,17097,880,4848,20928,
e,17197,-128,2976,17440,
e,17297,-2576,2112,16096,
e,17397,-4784,960,14768,
e,17497,-6560,432,13424,
e,17598,-8448,-2944,9232,
e,17697,-8528,-9088,5616,
e,17797,-9008,-11648,4880,
e,17898,-10096,-10880,6656,
e,17997,-9936,-8432,7760,
e,18097,-9648,-5920,8416,
e,18198,-8960,-4208,9920,
e,18297,-7024,-2192,10112,
e,18397,-2560,416,12656,
e,18497,400,3072,16960,
e,18597,2176,4080,19008,
e,18697,2752,4576,18992,
e,18797,2208,4480,17856,
e,18898,-1216,2560,15216,
e,18997,-4640,400,13760,
e,19097,-6816,-3040,11264,
e,19197,-8400,-5776,10224,
e,19298,-9552,-8992,9440,
e,19397,-9648,-8720,9408,
e,19498,-9728,-6304,9024,
e,19597,-9088,-3504,10896,
e,19697,-8384,-1824,12192,
e,19798,-6256,560,14192,
e,19897,-4240,1744,14400,
e,19998,-1536,2752,16528,
e,20098,-192,3616,17264,
e,20197,-688,2176,17168,
e,20298,-496,1984,16528,
e,20398,-688,1824,17664,
e,20498,-1984,1280,15824,
e,20597,-3712,992,15680,
e,20698,-5376,96,14256,
e,20797,-5680,1568,15504,
e,20898,-7440,592,15312,
e,20998,-8480,-736,13312,
e,21099,-10176,-2096,11136,
e,21198,-10912,-2512,10224,
e,21298,-10528,-2560,9824,
e,21399,-8256,-880,10992,
e,21498,-4208,2768,15328,
e,21598,-2896,2944,14928,
e,21698,-384,1136,19600,
e,21798,-96,1632,20224,
e,21899,-976,2128,17952,
e,21999,-2896,2656,18016,
e,22098,-3952,3312,15920,
e,22198,-5840,2672,13280,
e,22299,-7856,1376,12944,
e,22398,-9392,-1536,11808,
e,22498,-10960,-5936,8384,
e,22598,-11440,-5760,8160,
e,22698,-11120,-4640,8720,
e,22798,-8304,-2336,8880,
e,22898,-3392,2368,12000,
e,22998,-2784,3184,14080,
