ip,ms,x,y,z,
192.168.1.109,287,0.05859375,-0.009765625,0.93359375,
192.168.1.109,290,0.046875,-0.00390625,0.97265625,
192.168.1.109,292,0.06640625,-0.005859375,0.966796875,
192.168.1.109,295,0.07421875,-0.001953125,1.001953125,
192.168.1.109,297,0.068359375,0.005859375,1.0234375,
192.168.1.109,299,0.072265625,0.01171875,1.0078125,
192.168.1.109,302,0.060546875,0.01171875,1.025390625,
192.168.1.109,305,0.0546875,0.0078125,1.015625,
192.168.1.109,307,0.05859375,0.01171875,0.99609375,
192.168.1.109,310,0.056640625,0.00390625,0.9921875,
192.168.1.109,312,0.0546875,0.00390625,0.98828125,
192.168.1.109,314,0.05078125,0.00390625,0.986328125,
192.168.1.109,317,0.052734375,-0.001953125,0.994140625,
192.168.1.109,319,0.056640625,-0.00390625,0.984375,
192.168.1.109,322,0.056640625,-0.0078125,0.974609375,
192.168.1.109,324,0.064453125,-0.00390625,0.97265625,
192.168.1.109,327,0.06640625,-0.001953125,0.96875,
192.168.1.109,329,0.068359375,-0.005859375,0.966796875,
192.168.1.109,332,0.0703125,-0.001953125,0.970703125,
192.168.1.109,334,0.0703125,-0.001953125,0.9765625,
192.168.1.109,337,0.068359375,0.0,0.978515625,
192.168.1.109,340,0.072265625,-0.00390625,0.98046875,
192.168.1.109,342,0.07421875,0.0,0.982421875,
192.168.1.109,345,0.0703125,0.0,0.986328125,
192.168.1.109,347,0.072265625,0.0,0.990234375,
192.168.1.109,350,0.07421875,0.00390625,0.98828125,
192.168.1.109,352,0.06640625,0.0,0.984375,
192.168.1.109,355,0.064453125,0.0,0.982421875,
192.168.1.109,357,0.0625,-0.001953125,0.9765625,
192.168.1.109,360,0.0625,0.0,0.9765625,
192.168.1.109,362,0.05859375,0.001953125,0.96875,
192.168.1.109,365,0.05859375,0.001953125,0.9609375,
192.168.1.109,367,0.0546875,0.001953125,0.95703125,
192.168.1.109,370,0.052734375,0.001953125,0.958984375,
192.168.1.109,372,0.056640625,0.0,0.962890625,
192.168.1.109,375,0.0546875,-0.001953125,0.966796875,
192.168.1.109,378,0.0546875,-0.00390625,0.962890625,
192.168.1.109,380,0.056640625,-0.0078125,0.96484375,
192.168.1.109,383,0.056640625,-0.005859375,0.9609375,
192.168.1.109,385,0.060546875,-0.001953125,0.96484375,
192.168.1.109,388,0.064453125,-0.005859375,0.970703125,
192.168.1.109,390,0.05859375,-0.001953125,0.96875,
192.168.1.109,393,0.060546875,0.0,0.970703125,
192.168.1.109,396,0.0625,0.0,0.97265625,
192.168.1.109,398,0.064453125,0.0,0.974609375,
192.168.1.109,401,0.0625,0.0,0.978515625,
192.168.1.109,403,0.060546875,0.00390625,0.984375,
192.168.1.109,406,0.060546875,0.001953125,0.986328125,
192.168.1.109,409,0.064453125,0.009765625,0.97265625,
192.168.1.109,412,0.072265625,-0.00390625,0.97265625,
192.168.1.109,414,0.08203125,-0.005859375,0.97265625,
192.168.1.109,417,0.080078125,-0.00390625,0.99609375,
192.168.1.109,419,0.083984375,-0.0078125,1.00390625,
192.168.1.109,422,0.0625,0.001953125,0.978515625,
192.168.1.109,426,0.076171875,-0.001953125,0.96484375,
192.168.1.109,428,0.072265625,0.0,0.962890625,
192.168.1.109,431,0.06640625,-0.005859375,0.962890625,
192.168.1.109,434,0.064453125,-0.005859375,0.96875,
192.168.1.109,436,0.064453125,-0.001953125,0.96875,
192.168.1.109,439,0.0625,-0.001953125,0.966796875,
192.168.1.109,441,0.05859375,0.0,0.96875,
192.168.1.109,444,0.060546875,-0.00390625,0.962890625,
192.168.1.109,446,0.060546875,-0.00390625,0.9765625,
192.168.1.109,449,0.0703125,-0.001953125,0.9765625,
192.168.1.109,451,0.064453125,0.001953125,0.97265625,
192.168.1.109,454,0.07421875,0.0,0.984375,
192.168.1.109,456,0.072265625,0.00390625,0.962890625,
192.168.1.109,460,0.068359375,0.001953125,0.958984375,
192.168.1.109,463,0.0703125,0.001953125,0.9609375,
192.168.1.109,465,0.05078125,0.001953125,0.962890625,
192.168.1.109,468,0.05078125,-0.001953125,0.958984375,
192.168.1.109,470,0.06640625,-0.001953125,0.982421875,
192.168.1.109,473,0.0625,0.00390625,0.966796875,
192.168.1.109,475,0.05859375,-0.001953125,0.98046875,
192.168.1.109,478,0.052734375,0.0,0.99609375,
192.168.1.109,480,0.0546875,0.00390625,0.970703125,
192.168.1.109,483,0.0546875,0.00390625,0.96484375,
192.168.1.109,485,0.05078125,0.0,0.97265625,
192.168.1.109,488,0.064453125,-0.00390625,0.97265625,
192.168.1.109,490,0.052734375,-0.001953125,0.990234375,
192.168.1.109,493,0.037109375,0.0,0.978515625,
192.168.1.109,495,0.0390625,-0.00390625,0.97265625,
192.168.1.109,498,0.052734375,-0.005859375,0.98828125,
192.168.1.109,500,0.0625,-0.00390625,0.9921875,
192.168.1.109,503,0.1015625,-0.01171875,1.01171875,
192.168.1.109,505,0.08984375,0.021484375,1.033203125,
192.168.1.109,508,0.0703125,0.029296875,1.041015625,
192.168.1.109,511,0.0703125,0.03515625,1.03515625,
192.168.1.109,513,0.099609375,0.03125,1.01953125,
192.168.1.109,516,0.09765625,0.060546875,1.029296875,
192.168.1.109,518,0.04296875,0.037109375,0.994140625,
192.168.1.109,521,0.02734375,0.037109375,1.060546875,
192.168.1.109,523,0.072265625,-0.0703125,0.861328125,
192.168.1.109,526,0.1796875,-0.078125,0.896484375,
192.168.1.109,528,0.181640625,-0.115234375,0.814453125,
192.168.1.109,531,0.1484375,-0.09375,0.826171875,
192.168.1.109,534,0.048828125,-0.029296875,0.8984375,
192.168.1.109,536,0.005859375,-0.00390625,0.951171875,
192.168.1.109,539,0.001953125,0.021484375,1.0,
192.168.1.109,541,0.009765625,0.013671875,1.01953125,
192.168.1.109,544,0.009765625,0.025390625,0.99609375,
192.168.1.109,547,0.015625,0.01953125,0.96875,
192.168.1.109,549,0.021484375,0.033203125,1.0078125,
192.168.1.109,552,0.033203125,-0.001953125,0.986328125,
192.168.1.109,554,0.0390625,-0.00390625,1.021484375,
192.168.1.109,557,0.05078125,-0.0078125,1.01953125,
192.168.1.109,560,0.05078125,0.005859375,1.01953125,
192.168.1.109,563,0.07421875,-0.0078125,1.005859375,
192.168.1.109,566,0.07421875,-0.0078125,1.0,
192.168.1.109,568,0.06640625,-0.009765625,0.9921875,
192.168.1.109,571,0.06640625,-0.0078125,0.984375,
192.168.1.109,573,0.0546875,-0.013671875,0.96875,
192.168.1.109,576,0.052734375,-0.013671875,0.966796875,
192.168.1.109,578,0.056640625,-0.015625,0.95703125,
192.168.1.109,581,0.056640625,-0.01171875,0.939453125,
192.168.1.109,584,0.052734375,-0.0078125,0.935546875,
192.168.1.109,586,0.052734375,-0.0078125,0.939453125,
